,ticker,160_0_EMA_100_EMA_21,160_0_EMA_200_EMA_21,160_0_EMA_200_EMA_50,160_0_EMA_21_EMA_9,160_0_EMA_50_EMA_9,160_262_EMA_100_EMA_21,160_262_EMA_200_EMA_21,160_262_EMA_200_EMA_50,160_262_EMA_21_EMA_9,160_262_EMA_50_EMA_9,160_583_EMA_100_EMA_21,160_583_EMA_200_EMA_21,160_583_EMA_200_EMA_50,160_583_EMA_21_EMA_9,160_583_EMA_50_EMA_9,160_874_EMA_100_EMA_21,160_874_EMA_200_EMA_21,160_874_EMA_200_EMA_50,160_874_EMA_21_EMA_9,160_874_EMA_50_EMA_9,250_0_EMA_100_EMA_21,250_0_EMA_200_EMA_21,250_0_EMA_200_EMA_50,250_0_EMA_21_EMA_9,250_0_EMA_50_EMA_9,250_262_EMA_100_EMA_21,250_262_EMA_200_EMA_21,250_262_EMA_200_EMA_50,250_262_EMA_21_EMA_9,250_262_EMA_50_EMA_9,250_583_EMA_100_EMA_21,250_583_EMA_200_EMA_21,250_583_EMA_200_EMA_50,250_583_EMA_21_EMA_9,250_583_EMA_50_EMA_9,250_874_EMA_100_EMA_21,250_874_EMA_200_EMA_21,250_874_EMA_200_EMA_50,250_874_EMA_21_EMA_9,250_874_EMA_50_EMA_9,500_0_EMA_100_EMA_21,500_0_EMA_200_EMA_21,500_0_EMA_200_EMA_50,500_0_EMA_21_EMA_9,500_0_EMA_50_EMA_9,500_262_EMA_100_EMA_21,500_262_EMA_200_EMA_21,500_262_EMA_200_EMA_50,500_262_EMA_21_EMA_9,500_262_EMA_50_EMA_9,500_583_EMA_100_EMA_21,500_583_EMA_200_EMA_21,500_583_EMA_200_EMA_50,500_583_EMA_21_EMA_9,500_583_EMA_50_EMA_9,500_874_EMA_100_EMA_21,500_874_EMA_200_EMA_21,500_874_EMA_200_EMA_50,500_874_EMA_21_EMA_9,500_874_EMA_50_EMA_9
index_GSPTSE,1124.5996099999993,3.458880205007471,0.6593261239054871,0.0,10.055975160636372,7.611553811025795,0.2654512921533788,-0.1552459885827656,0.0,4.456400138594599,4.193466979791489,-0.8003355386965038,0.0,0.0,6.61687495067534,-0.970002423924728,3.128925720536106,1.9932292375555936,-0.0090910232069721,3.638334381639713,2.598374195256305,3.909881488004088,-3.6234942334796023,-4.370472104375073,16.745030050499075,10.69757218766117,-1.5156175852594067,-2.939333080817581,-7.582530366602049,5.958563137358259,6.521908551556858,0.0,0.0,0.0,8.495389797305196,0.0,1.3710877785815865,-5.840827146764388,-2.4010048454552098,4.745998495571683,0.0803659568203807,-5.507580670984731,-15.572499512129614,-9.911105010724633,29.64497922062123,19.786482292763136,28.13377712815305,23.612362781222973,22.72398494147268,26.548750907667426,30.725405789079627,2.2289989576356746,-2.6118958584261733,-3.77827787128554,22.248800876532112,13.152903721362076,-3.32365038449075,-14.448392612753205,-13.101540881150529,19.646755772000493,15.615331030551776
ACB.TO,0.0,-18.420236947237907,-49.61063317535134,-35.53382233088834,45.35480859010271,8.829236001734799,0.0,0.0,0.0,299.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.28161547437534,-84.82136236863869,-96.49536486325027,91.03949642298376,15.06852939408357,0.0,0.0,0.0,299.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.41735116737655,96.34901262546872,9.87276387004924,366.8917879039165,296.45642821316426,0.0,0.0,0.0,299.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBD.B.TO,-3.33,-2.148437500000006,-2.148437500000006,-5.273437500000009,64.55926947388492,45.2807418699187,-21.8296908000385,-22.27081225840448,-4.597701149425292,44.21304335786379,26.130762093570397,0.0,0.0,0.0,9.180644792319915,0.0,0.0,0.0,0.0,26.38372007386597,0.0,6.531876225548796,-3.210180623973747,-17.836906496449966,98.9464863996078,74.72857491453931,-21.092043161388226,-37.074481643552886,-36.78328390956306,38.79477193142853,25.44473529028207,10.247943459622268,-6.349206349206354,-15.037593984962404,76.54693501465923,38.087453087453056,-31.420372996037173,-36.4065225805247,-49.37593980018703,22.149002679832368,6.181063061970264,1.3008180144275912,-8.482917585040639,21.68633695143926,149.00514322081156,117.8247833176204,-71.18030293747591,-1.8099547511312235,0.0,99.12125052101824,58.12201792953194,60.92356581228069,8.62171999251958,-3.765924548705645,181.5444406485456,141.01927194581774,-4.696530321530297,-17.429357215274372,-32.950381283476226,58.45512350402117,5.802421353866739
XIU.TO,2.7600000000000016,1.695633743111482,0.4264392324093725,0.0,5.519810876878777,5.103331927456773,0.0,0.0,0.0,7.3304304073449,5.558212458208011,0.0,0.0,0.0,9.061767916310306,-0.7195473353057666,1.896733403582716,-4.784945325559626,0.4214963119072618,7.3867412585297885,6.03214572923018,3.1075454108873166,-5.159067228304041,-14.365643117418651,14.29582233333852,10.79186592758979,-2.2156125534357347,-3.5935862245019523,-3.379629629629615,7.326014465594003,8.291507532313615,0.0,0.0,0.0,11.700581929654891,0.0,2.306529985828416,-0.9450761543812858,-3.2267661185590506,7.618914589421495,-4.029395186616711,-4.922427228910908,-8.992350298638577,-20.738941011512832,22.22831416265615,21.159569162674067,29.79601682032517,0.0,0.0,35.04399901273712,39.528187358305374,-3.5821496361444742,-7.0814252109544285,2.336448598130856,24.49595390337622,4.616367905557963,4.230350325934543,16.753825946999257,20.621827411167523,23.19987576021099,18.214509495456277
MFC.TO,4.369999999999999,-4.889352042979672,-1.832586255036748,-3.130434782608691,17.813872174408324,6.466447109904282,-6.763832778641236,-8.561878569758031,0.0,12.325030496873092,3.7202083690597663,-18.457035864804045,-23.1210684129049,-14.445758321852862,2.037293887353091,-8.794995814154658,2.2653721682847987,-5.282817502668082,0.0,10.49451093715382,5.361098759778763,-3.620816885105011,-10.365227690299536,-3.2275542025632995,21.834240874217585,4.8747101005829805,-3.7169254990681617,-6.554600376503528,-2.465927876825896,16.2230469950996,4.747119182616107,-9.225023664649916,0.0,0.0,17.12306859875894,8.300499497477196,-9.298728273808962,-20.12794075091105,-20.160903341304262,11.97558670493356,-3.2588910723755795,-18.652270586351065,-28.99241318985861,-6.270599157848832,45.23425039125688,16.59744135944259,-8.053799927472411,-22.021609066016644,0.0,59.40136936814135,27.17888931444153,-9.008651033976694,-27.545046179611397,-10.687865326163216,30.72321978505673,12.540302044242948,-12.41799112323124,-9.57061986149281,-3.2169746748802237,25.78982821264601,10.346247738701516
APHA.TO,0.0,-27.71871278977316,-47.855171457577455,-102.73507313278556,93.70646946028398,83.73786083966837,-9.223725570589057,-9.223725570589057,-4.426677600109339,168.9685633194182,4.244909115757816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.18081867053232,-64.50550529490148,-147.98943227302902,110.90688356487944,80.84397328034426,-25.797621377454423,-16.517669785139486,-27.88785931119904,196.30086165316035,13.346604867047112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.47879888772884,-49.258799215719776,-73.9007016021452,323.4342865035016,284.9491748726972,-25.797621377454423,-16.517669785139486,-27.88785931119904,196.30086165316035,13.346604867047112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ.TO,-2.349999999999998,0.0,0.0,0.0,19.5007741972043,8.868734478700407,-1.451983718501907,-1.451983718501907,-2.150112732743739,11.592077882740128,16.486892896168538,-2.714932126696832,0.0,0.0,-8.940846644983186,-0.5902118605195241,0.0,0.0,0.0,6.473706818217682,0.0,-0.4318200393401588,2.599276178211129,-14.217015680729205,32.04123899489878,9.14681843387546,-4.011927351585786,-3.1728959397687544,-8.93557422969187,35.792350907619266,9.61916482798191,-10.02747845281082,-17.33861943705652,-22.454574061007516,23.056481688824427,12.08949396211222,-2.8514399771884804,-7.264380232244121,0.0,12.617044327454565,9.207481307343084,-13.984853128032828,-22.757175550446505,-33.7762663763186,68.07901087090045,29.79129043038486,43.42636922725768,20.086989409198623,28.009278525620445,56.60334796624304,57.96799120556735,-42.906619808262754,-17.245784831520258,-38.37809882744159,74.45817643134708,45.89653015896776,44.49739883365479,8.94631646772342,6.431313863626206,66.92894410073897,55.94698327257437
HEXO.TO,0.0,-5.967380876239186,-25.87349813561663,-70.90865401659978,91.03596762174556,13.503577210298175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.694930420562205,-19.387885035168576,-68.96136374065067,91.03596762174556,11.35897435897435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.694930420562205,-19.387885035168576,-68.96136374065067,91.03596762174556,11.35897435897435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU.TO,2.0500000000000007,0.0,0.0,0.0,20.03242573561122,19.187851021505693,0.0,0.0,0.0,6.038672460125305,16.250335750738664,-17.67997913290069,-2.455180298287446,0.0,6.544530390978802,-13.776073989432405,-13.240583768096904,-17.334636689475378,-16.923573040954537,13.164153794018873,-14.049401782305544,17.954070981210858,6.750173973556029,-4.218472468916516,46.45515163481065,37.75368911107188,-13.189264147708204,-6.449099001792923,-9.14036996735582,13.606825075367588,10.558726326863,-9.95428726220364,-41.29973449465092,0.2671415850400602,19.74672714335516,-4.402295725265551,-18.443395801451945,-3.646550926859112,0.0,16.85886833284409,1.813757944814605,0.2331418749554075,1.154483484060032,-12.879877632543732,66.94531104827566,43.58699950076027,26.310922349867333,30.094519162981005,22.485598649889475,54.41007786810098,17.259511658723707,-82.62316694070404,-44.32408467220672,-54.363010044959736,8.394154127635328,-25.871390944844013,-19.470638347918776,-12.731266544097728,-3.7270792303555336,25.897790677189697,1.44209393606815
TD.TO,9.4,0.5258899676375413,-2.584547704151787,0.0,10.890446521287643,5.871487003562478,-5.921677127036347,-6.422101430462638,-6.351561812774344,9.71479688195782,-0.5534428405508601,0.0,0.0,0.0,1.3346065320382865,4.283197170645277,2.2241416540703973,-1.1477234820108206,-2.4556907964979686,13.84824825442546,3.643546971027209,-4.261363299868226,-11.69324842512097,-14.648558623329702,26.39914021046546,12.68773054247506,-6.228007624002057,-3.220559531554984,-5.649436713055009,15.634090806471296,-1.7140831774106404,0.0,0.0,0.0,3.37705901782944,5.231126422365934,-9.293328607950334,-12.810304974050382,-6.826049932426431,5.000624357515664,-1.5999558939353618,-0.8669502157598161,7.562971794414349,-4.749878257661322,36.57201422759451,26.700364227413694,30.58914455651937,0.0,0.0,40.999358475789286,31.84088687574535,-9.328496452216177,-16.121664041617787,-39.48714201305238,10.257242658532782,11.321887438414128,1.2508330338790148,5.40874668599138,8.415782527632631,25.451082103118218,17.121899259015876
ECA.TO,-7.609999999999998,0.0,0.0,-7.9816548420487825,42.36977307614165,-11.11296236039564,-16.328290992364558,-3.734834644931605,0.0,39.19029860528668,12.888702821684106,0.0,0.0,0.0,42.34064008058044,0.0,-38.27693281542621,-39.133090542911326,-43.99247065304088,31.91046321431056,2.808796404898976,-3.4008071714858845,4.270462633451954,-3.366058906030859,60.2275677387222,-4.09116566242141,-11.398692118468963,0.9635237439779684,-2.1739130434782616,44.01879523359372,14.26266781500726,6.314478667238767,-7.8040707370932,-31.020509050347307,113.02544983546542,20.383433147816564,24.680859478681167,-1.2921804965280228,0.0,50.15155179296255,27.58641306921205,-55.51283241808968,-54.75641339449123,-38.05984781361454,114.89469755187912,23.63181639007789,161.37265248913215,138.68042211997889,88.3533510654668,146.6252476024575,216.15613264578664,56.0163574935845,49.49762030671602,42.41142252776309,172.00681298295277,44.58427716883872,55.61227699384875,0.0,0.0,85.71050650738253,54.41531694094579
RY.TO,11.410000000000004,-1.6800659657802617,-2.9841467205470886,-6.816266329540664,1.266334698885959,4.636091724825516,-2.024084485769855,-3.0368291375677616,-6.600117991636192,12.695499900421444,-4.212319255549893,0.0,0.0,0.0,3.0727722512791096,-3.8784839994101095,-0.7687669580946715,-2.2303174335447635,-4.910179640718554,6.532919846833812,-0.4419589670709571,-5.630983966304602,-2.8987280609791832,-10.61255586091811,7.578812065324213,5.044533112977838,-7.995984777424296,-4.292833208704311,-4.840721006688596,11.176511320138866,-1.786386264093128,0.0,0.0,0.0,9.68390628597784,8.18933348441025,-15.53305354223112,-22.456525804226604,-18.72107801939344,13.130781697022698,-1.1556238592620982,-11.818476695781872,-13.398875024312346,-9.758359110553355,16.913366549793952,13.158798490686134,48.21179861354234,0.0,0.0,56.92663691069672,42.51276038577517,-16.74588316037999,-27.435761255265,-17.593610718824014,21.17470633459457,15.312577511432863,-5.456936616984619,-3.6612532740565777,0.0,24.041489473911916,15.113257152774825
