Symbol	Description
AAB.TO	Aberdeen International Inc
AAV.TO	Advantage Oil & Gas Ltd
ABCT.TO	ABC Technologies Holdings Inc
ABST.TO	Absolute Software Corp
ABTC.TO	Accelerate Carbon Negative Bitcoin ETF
ABTC.U.TO	Accelerate Carbon Neg Bitcoin ETF USD
ABX.TO	Barrick Gold Corp
AC.TO	Air Canada
ACB.TO	Aurora Cannabis Inc
ACB.WT.U.TO	Aurora Cannabis Inc WT USD
ACB.WT.V.TO	Aurora Cannabis Inc WT V USD
ACD.TO	Accord Financial
ACD.DB.TO	Accord Financial Corp 7.00 Pct Debs
ACO.X.TO	Atco Ltd Cl I NV
ACO.Y.TO	Atco Ltd Cl II
ACQ.TO	Autocanada Inc
ACZ.TO	Middlefield American Core Dividend ETF
AD.DB.TO	Alaris Royalty Corp 5.50 Pct Debs
AD.UN.TO	Alaris Equity Partners Income Trust
ADCO.TO	Adcore Inc
ADCO.WT.TO	Adcore Inc WT
ADN.TO	Acadian Timber Corp
ADW.A.TO	Andrew Peller Ltd Cl A
ADW.B.TO	Andrew Peller Ltd Cl B
AEG.TO	Aegis Brands Inc
AEM.TO	Agnico Eagle Mines Ltd
AEZS.TO	Aeterna Zentaris Inc
AFN.TO	Ag Growth International Inc
AFN.DB.D.TO	Ag Growth Intl Inc 4.85 Pct Debs
AFN.DB.E.TO	Ag Growth Intl Inc 4.50 Pct Debs
AFN.DB.F.TO	Ag Growth Intl Inc 5.4 Pct Debs
AFN.DB.G.TO	Ag Growth Intl Inc 5.25 Pct Debs
AFN.DB.H.TO	Ag Growth Intl Inc 5.25 Pct Debs
AGF.B.TO	AGF Management Ltd Cl B NV
AGI.TO	Alamos Gold Inc Cls A
AGR.UN.TO	Sustainable Agriculture Wellness Div Fund
AH.TO	Aleafia Health Inc
AH.DB.TO	Aleafia Health Inc 8.50 Pct Debs
AH.WT.TO	Aleafia Health Inc WT
AH.WT.A.TO	Aleafia Health Inc WT A
AH.WT.B.TO	Aleafia Health Inc WT B
AHC.TO	Apollo Healthcare Corp
AI.TO	Atrium Mortgage Investment Corp
AI.DB.C.TO	Atrium Mortgage Inv Corp 5.30 Pct Debs
AI.DB.D.TO	Atrium Mortgage Inv Corp 5.50 Pct Debs
AI.DB.E.TO	Atrium Mortgage Inv Corp 5.60 Pct Debs
AIF.TO	Altus Group Ltd
AII.TO	Almonty Industries Inc
AIM.TO	Aimia Inc
AIM.PR.A.TO	Aimia Inc Pref Ser 1
AIM.PR.C.TO	Aimia Inc Pref Ser 3
AJX.TO	Agjunction Inc
AKT.A.TO	Akita Drilling Ltd Cl A NV
AKT.B.TO	Akita Cl B
AKU.TO	Akumin Inc
ALA.TO	Altagas Ltd
ALA.PR.A.TO	Altagas Ltd Pref A
ALA.PR.B.TO	Altagas Ltd Pref Ser B
ALA.PR.E.TO	Altagas Ltd Pref Ser E
ALA.PR.G.TO	Altagas Ltd Pref G
ALA.PR.H.TO	Altagas Ltd Pref H
ALA.PR.K.TO	Altagas Ltd Pref Ser K
ALA.PR.U.TO	Altagas Ltd Pref Ser C
ALC.TO	Algoma Central
ALC.DB.A.TO	Algoma Central Corp 5.25 Pct Debs
ALS.TO	Altius Minerals Corp
ALYA.TO	Alithya Group
AMM.TO	Almaden Minerals Ltd
AND.TO	Andlauer Healthcare Group Inc
ANRG.TO	Anaergia Inc
ANX.TO	Anaconda Mining Inc
AOI.TO	Africa Oil Corp
AOT.TO	Ascot Resources Ltd
AP.UN.TO	Allied Properties Real Estate Inv Trust
APLI.TO	Appili Therapeutics Inc
APR.UN.TO	Automotive Properties REIT
APS.TO	Aptose Biosciences Inc
APY.TO	Anglo Pacific Group Plc
AQA.TO	Aquila Resources Inc
AQN.TO	Algonquin Power and Utilities Corp
AQN.PR.A.TO	Algonquin Power and Utilities Pref A
AQN.PR.D.TO	Algonquin Power and Utilities Pref D
AR.TO	Argonaut Gold Inc
AR.DB.U.TO	Argonaut Gold Inc 4.625%
ARB.TO	Accelerate Arbitrage Fund ETF
ARE.TO	Aecon Group Inc
ARE.DB.C.TO	Aecon Group Inc 5.0 Pct Debs
ARG.TO	Amerigo Resources Ltd
ARIS.TO	Aris Gold Corp
ARIS.WT.TO	Aris Gold Corp WT
ARR.TO	Altius Renewable Royalties Corp
ARX.TO	Arc Resources Ltd
ASM.TO	Avino Silver and Gold Mines Ltd
ASND.TO	Ascendant Resources Inc
ASND.WT.TO	Ascendant Resources Inc WT
ASP.TO	Acerus Pharmaceuticals Corp
ASTL.TO	Algoma Steel Group Inc
ASTL.WT.TO	Algoma Steel Group Inc
AT.TO	Acuityads Holdings Inc
ATA.TO	Ats Automation
ATD.A.TO	Alimentation Couche-Tard Inc Cl A Mv
ATD.B.TO	Alimentation Couche-Tard Inc Cl B Sv
ATE.TO	Antibe Therapeutics Inc
ATH.TO	Athabasca Oil Corp
ATSX.TO	Accelerate Enhanced CDN Bm Alt Fund ETF
ATZ.TO	Aritzia Inc
