ticker,mean_volume,median_volum
RNX.TO,823705.5338199513,152301.0
DGC.TO,815271.610376735,608868.0
ARX.TO,804603.471143296,674298.0
CAE.TO,788192.4028966426,558975.0
PONY.TO,786000.0158730159,631988.0
TVE.TO,757903.417519909,530468.0
POW.TO,757236.2350746269,594525.5
GTE.TO,756148.2863340564,557716.0
TSGI.TO,743961.0382653062,532009.5
CLS.TO,741543.6217639316,510947.5
AR.TO,735745.0349813433,538888.5
EFN.DB.A.TO,714866.4701492537,129500.0
TA.TO,707538.0394996708,545700.0
XGD.TO,696122.5140562248,494450.0
BIR.TO,686751.0551158019,436600.0
HXU.TO,670907.3631284917,347062.0
THO.TO,670532.0146185473,420833.0
FCU.TO,670180.3816029144,491212.5
CR.TO,664551.819680577,495001.0
AKG.TO,664204.1685542972,396640.0
CG.TO,635355.5190528035,452876.5
PSK.TO,631745.9108494533,475597.0
SHC.TO,622514.3263979193,395796.0
PLI.TO,620231.5436978481,252604.0
GWO.TO,616810.385476086,426193.0
MGA.TO,614918.7713463383,395250.0
AIM.TO,609110.7275449102,382369.5
TOU.TO,605870.623752495,513735.0
AGI.TO,605124.6948968512,488727.0
FF.TO,585041.0811455847,442967.0
ERF.TO,583778.5040596884,391800.0
FTS.TO,566496.8944481019,417700.0
PWF.TO,558750.8470149253,418904.5
PRU.TO,555812.7781851513,320030.0
HMMJ.TO,551068.1289640592,385713.0
CP.TO,548825.2876337965,456400.0
BSX.TO,548207.804088586,269625.0
ASR.TO,543962.7929537912,352234.0
SNC.TO,538691.6039517014,373273.0
NEXT.TO,536421.7960954447,218388.0
FNV.TO,523818.3361732339,446963.0
PEY.TO,523075.59137853613,381296.0
UEX.TO,522316.2837610938,313500.0
OTEX.TO,521976.89711538464,440761.5
SVM.TO,512295.9330343797,374775.0
WEF.TO,510681.73524404084,190650.0
PPL.TO,505185.5406593407,308783.5
H.TO,504836.2183406114,365151.0
HGD.TO,500828.71643238,172003.0
SAP.TO,498754.4136493307,393984.0
OBE.TO,497984.5990338164,390592.0
CNL.TO,495035.59694793535,335179.0
ELD.TO,493762.1380294053,420878.0
QBR.B.TO,493454.7634408602,352800.0
AAV.TO,490234.3617356115,345300.0
BNP.TO,489260.4876014922,339400.0
