col_name,median_y_gain
160_0_EMA_100_EMA_21,nan
160_262_EMA_100_EMA_21,nan
160_583_EMA_100_EMA_21,0.0
160_874_EMA_100_EMA_21,0.0
250_0_EMA_100_EMA_21,-3.6329696178784787
250_262_EMA_100_EMA_21,-1.601957838827106
250_583_EMA_100_EMA_21,0.0
250_874_EMA_100_EMA_21,nan
500_0_EMA_100_EMA_21,nan
500_262_EMA_100_EMA_21,nan
500_583_EMA_100_EMA_21,nan
500_874_EMA_100_EMA_21,nan
