,ticker,160_0_EMA_100_EMA_21,160_0_EMA_200_EMA_21,160_0_EMA_200_EMA_50,160_0_EMA_21_EMA_9,160_0_EMA_50_EMA_9,250_0_EMA_100_EMA_21,250_0_EMA_200_EMA_21,250_0_EMA_200_EMA_50,250_0_EMA_21_EMA_9,250_0_EMA_50_EMA_9,500_0_EMA_100_EMA_21,500_0_EMA_200_EMA_21,500_0_EMA_200_EMA_50,500_0_EMA_21_EMA_9,500_0_EMA_50_EMA_9,500_262_EMA_100_EMA_21,500_262_EMA_200_EMA_21,500_262_EMA_21_EMA_9,500_262_EMA_50_EMA_9
0,index_GSPTSE,3.458880205007471,0.6593261239054871,0.0,10.055975160636372,7.611553811025795,3.909881488004088,-3.6234942334796023,-4.370472104375073,16.745030050499075,10.69757218766117,-5.507580670984731,-15.572499512129614,-9.911105010724633,29.64497922062123,19.786482292763136,28.13377712815305,23.612362781222973,26.548750907667426,30.725405789079627
1,ACB.TO,-18.420236947237907,-49.61063317535134,-35.53382233088834,45.35480859010271,8.829236001734799,-64.28161547437534,-84.82136236863869,-96.49536486325027,91.03949642298376,15.06852939408357,134.41735116737655,96.34901262546872,9.87276387004924,366.8917879039165,296.45642821316426,0.0,0.0,299.21875,0.0
2,BBD.B.TO,-2.148437500000006,-2.148437500000006,-5.273437500000009,64.55926947388492,45.2807418699187,6.531876225548796,-3.210180623973747,-17.836906496449966,98.9464863996078,74.72857491453931,1.3008180144275912,-8.482917585040639,21.68633695143926,149.00514322081156,117.8247833176204,-71.18030293747591,-1.8099547511312235,99.12125052101824,58.12201792953194
3,XIU.TO,1.695633743111482,0.4264392324093725,0.0,5.519810876878777,5.103331927456773,3.1075454108873166,-5.159067228304041,-14.365643117418651,14.29582233333852,10.79186592758979,-4.922427228910908,-8.992350298638577,-20.738941011512832,22.22831416265615,21.159569162674067,29.79601682032517,0.0,35.04399901273712,39.528187358305374
4,MFC.TO,-4.889352042979672,-1.832586255036748,-3.130434782608691,17.813872174408324,6.466447109904282,-3.620816885105011,-10.365227690299536,-3.2275542025632995,21.834240874217585,4.8747101005829805,-18.652270586351065,-28.99241318985861,-6.270599157848832,45.23425039125688,16.59744135944259,-8.053799927472411,-22.021609066016644,59.40136936814135,27.17888931444153
5,APHA.TO,-27.71871278977316,-47.855171457577455,-102.73507313278556,93.70646946028398,83.73786083966837,-80.18081867053232,-64.50550529490148,-147.98943227302902,110.90688356487944,80.84397328034426,57.47879888772884,-49.258799215719776,-73.9007016021452,323.4342865035016,284.9491748726972,-25.797621377454423,-16.517669785139486,196.30086165316035,13.346604867047112
6,CNQ.TO,0.0,0.0,0.0,19.5007741972043,8.868734478700407,-0.4318200393401588,2.599276178211129,-14.217015680729205,32.04123899489878,9.14681843387546,-13.984853128032828,-22.757175550446505,-33.7762663763186,68.07901087090045,29.79129043038486,43.42636922725768,20.086989409198623,56.60334796624304,57.96799120556735
7,HEXO.TO,-5.967380876239186,-25.87349813561663,-70.90865401659978,91.03596762174556,13.503577210298175,-12.694930420562205,-19.387885035168576,-68.96136374065067,91.03596762174556,11.35897435897435,-12.694930420562205,-19.387885035168576,-68.96136374065067,91.03596762174556,11.35897435897435,0.0,0.0,0.0,0.0
8,SU.TO,0.0,0.0,0.0,20.03242573561122,19.187851021505693,17.954070981210858,6.750173973556029,-4.218472468916516,46.45515163481065,37.75368911107188,0.2331418749554075,1.154483484060032,-12.879877632543732,66.94531104827566,43.58699950076027,26.310922349867333,30.094519162981005,54.41007786810098,17.259511658723707
9,TD.TO,0.5258899676375413,-2.584547704151787,0.0,10.890446521287643,5.871487003562478,-4.261363299868226,-11.69324842512097,-14.648558623329702,26.39914021046546,12.68773054247506,-0.8669502157598161,7.562971794414349,-4.749878257661322,36.57201422759451,26.700364227413694,30.58914455651937,0.0,40.999358475789286,31.84088687574535
10,ECA.TO,0.0,0.0,-7.9816548420487825,42.36977307614165,-11.11296236039564,-3.4008071714858845,4.270462633451954,-3.366058906030859,60.2275677387222,-4.09116566242141,-55.51283241808968,-54.75641339449123,-38.05984781361454,114.89469755187912,23.63181639007789,161.37265248913215,138.68042211997889,146.6252476024575,216.15613264578664
11,RY.TO,-1.6800659657802617,-2.9841467205470886,-6.816266329540664,1.266334698885959,4.636091724825516,-5.630983966304602,-2.8987280609791832,-10.61255586091811,7.578812065324213,5.044533112977838,-11.818476695781872,-13.398875024312346,-9.758359110553355,16.913366549793952,13.158798490686134,48.21179861354234,0.0,56.92663691069672,42.51276038577517
12,BTO.TO,0.0,0.0,0.0,20.413637051809943,0.0,0.0,-13.0324226603815,0.0,26.728977551101103,0.0,-18.61496286313329,-15.054676219639544,-9.610236561760752,48.71678797644668,-14.961376740232025,-39.67926480875785,-44.23983987861685,93.29226236718912,4.920291124708665
13,K.TO,17.41682974559688,14.677103718199607,2.7397260273972712,32.519348190227284,27.788649706457928,-1.6811393624221385,-5.576176239195194,-13.66491310329193,30.504915966836435,23.583248739656387,-5.499612181061899,5.939108211173552,-3.1545315631759494,22.061152590994443,24.576520085632147,-44.87057887857273,-56.250729790612525,17.444853222675018,23.846756946377408
14,ABX.TO,-13.226424526447603,-14.290953845398343,0.0,32.94020490741803,8.888932796307422,-21.79786262859628,-25.81239323298092,-29.777048781969523,62.956474961382966,29.52284394606249,-1.3058113210465605,5.168116571137642,12.589052570403314,108.31091013492733,54.638540834175664,-1.0059272768722165,-34.20719342777302,76.95978421849736,13.594873627825608
15,TECK.B.TO,2.824710405761286,-8.232187937093434,-1.1827682827278323,15.369829759358703,-3.759874207576035,-5.474282157673606,-7.9155672823219,0.0,39.51551134929434,0.5186590717577495,4.38610302481285,-11.122129388503827,-18.196292657593077,105.31765298708736,30.89631747374657,406.5144003620172,375.9028663895442,320.2452637591461,397.5535749450684
16,YRI.TO,0.0,0.0,0.0,6.611350835052591,0.0,-7.567652510326415,-9.171690857266674,-15.537884348748062,-4.403373299144784,-4.676379304650645,-91.57940220157847,-66.20040882497582,-56.67492982742344,36.19609093784823,-1.7265075942429997,24.021271164145027,17.721518987341778,105.17656717033648,24.712065690226535
17,TGOD.TO,-15.217391304347831,-23.314606741573037,-43.77622377622378,52.737309737091245,58.66696923525788,-3.778964283862945,-11.736898286992334,-7.085940492912761,118.3787769398332,92.17840793690814,-3.778964283862945,-11.736898286992334,-7.085940492912761,118.3787769398332,92.17840793690814,0.0,0.0,0.0,0.0
18,G.TO,0.0,0.0,0.0,5.802431620949714,-3.9542685597532174,11.823245619916452,1.779540091103669,-8.33333333333334,35.017054492968974,32.82469965083414,16.069928963066943,-14.137107040096303,3.0214914426742734,52.718888119220736,18.775249405720537,-17.38643568421419,-25.847152832520408,43.830243840814354,23.21043828646321
19,BNS.TO,-3.797468354430384,-4.179610279582051,-5.585483413666002,-0.0923268372779264,0.9909743784519454,-12.282578547193918,-11.454613961068162,-10.020011854223966,-2.664489310259252,0.2119939333506844,-26.801465840986427,-25.89199607411291,-7.1835008447155015,9.817315685115451,5.529184854380441,47.405085117841736,0.0,48.91862085578947,58.03567613786039
20,LUN.TO,14.86676016830294,0.0,0.0,19.71506914125228,-10.79129623936825,10.573301785915657,-1.9079685746352408,0.0,13.975850779100371,-9.88974423465885,-55.19463078301713,-107.74602176976458,-37.50894514688474,42.94924391977576,-7.319042722510513,60.24366842914283,111.01633045148898,83.94429413007305,102.2632158167592
21,CNR.TO,-5.750167976700688,-3.4345351043643166,-11.604330708661424,3.2831597030151016,4.95166977996443,6.211645198850196,-7.1777967380647,-22.91324036045613,23.152699935662756,22.637417515997058,1.1396625238655087,-0.581346193417895,-25.71032818457592,38.94339247082155,34.591371821819095,16.44638162798875,24.63582923412395,29.152284333259598,28.703159267995247
22,BB.TO,0.0,0.0,0.0,11.828955652131825,16.893815810319406,-30.25911987478541,-41.88716227750971,-14.44513329200247,31.141167732883925,14.099885665878311,-29.32250161015732,7.214684385272017,39.016736401673626,132.3387387712276,80.3118992505154,-46.12241258434754,-24.124996794017196,137.8828961805232,54.10401386637608
23,CVE.TO,0.0,0.0,0.0,11.45766881599629,-6.175079269140784,12.495309815534892,5.228308805311916,4.13703896404208,51.35397560667261,9.832645199521918,-94.29923577211537,-62.85584520394467,-40.3085818437154,128.83218877382677,45.48016181716892,-19.97710393708356,-8.259214353131135,96.11144360400122,14.78092991509604
24,FM.TO,10.102068604052032,1.5118226061374047,0.0,35.08076641150201,26.60143597494067,3.036749807866972,-6.995305164319259,0.0,71.00271549714607,31.210550210343147,37.64875303918257,25.708371159386985,-22.185678325113404,115.53711055484486,54.94432329937415,-3.095062638172439,-13.17829457364342,93.87334763244954,65.06225544952206
25,HOD.TO,12.8185156272588,-16.844582153565447,-38.36711035667709,94.0544869304841,67.0502175420208,17.0804282505324,0.3372681281618815,-17.97556719022686,82.80217899299564,49.86888306176034,40.95883768465379,33.799925430486766,30.393996247654787,117.04091448834204,98.26137993841698,-28.3095481954506,-17.339312406576983,60.454963819637904,11.499166030189482
