ticker,normal_gain,gain_period,ema_gain,beta_coef
index_GSPTSE,0.006412969343639506,219,4.193466979791489,1.0
ACB.TO,3.223443223443223,0,0.0,3.0548667725536074
BBD.B.TO,0.22779922779922793,205,26.130762093570393,1.072446649385884
XIU.TO,0.027454630060493247,218,5.558212458208011,0.9917822633583018
MFC.TO,0.04272766508416048,209,3.7202083690597663,1.1131937285637639
APHA.TO,2.0701107011070112,20,4.244909115757816,2.8339221478281034
CNQ.TO,0.0758293838862561,216,16.486892896168538,1.707749520870011
HEXO.TO,0,0,0,0
SU.TO,0.11412459720730397,191,16.250335750738664,1.4542034487340016
TD.TO,0.1234347048300536,56,-0.5534428405508601,0.7085839639533479
ECA.TO,0.22397200349956262,204,12.888702821684106,2.753803099791876
RY.TO,0.10381523831087967,84,-4.212319255549893,0.8226107119217053
BTO.TO,-0.03030303030303027,156,-25.079036423287427,0.5899749393940967
K.TO,-0.06378986866791742,225,-24.20298917400604,1.0997766574640293
ABX.TO,-0.18248893261190346,211,1.229611371323669,1.0669407430709419
TECK.B.TO,0.7915407854984894,149,20.049471140997046,1.993824117997213
YRI.TO,0.28155339805825247,166,-10.116647424316643,0.9192412042092121
TGOD.TO,0,0,0,0
G.TO,-0.04806565064478314,187,-10.903684150343985,0.9547901761285571
BNS.TO,0.02398574561403509,190,7.074169784740731,0.7539523322276119
LUN.TO,0.22189781021897806,203,33.77159026967809,1.395391212189129
CNR.TO,-0.09380970576996567,111,-3.491526869953243,0.925052965414097
BB.TO,0.05774647887323946,171,16.975441402751674,2.2976215319224407
CVE.TO,0.047952047952047994,189,-15.968285096181384,3.1596537533454296
FM.TO,0.7812499999999998,164,36.987946918818466,2.653162340836692
HOD.TO,-0.5316824471959214,0,0.0,-2.0573587782505474
BCE.TO,-0.04170444242973703,151,0.7506087353918527,0.48819917551854636
CRON.TO,0,0,0,0
ENB.TO,-0.1198786039453718,216,-2.3196201816871844,1.5456779702517314
FIRE.TO,0,0,0,0
CCO.TO,-0.03439597315436243,188,-4.975557633392005,1.5097589230754973
PD.TO,0.008988764044943828,91,-44.46452317395034,3.118571867086308
RCI.B.TO,-0.0671989354624085,162,4.289282981627478,0.736240567547032
BMO.TO,0.0706056803923805,224,6.647896576609331,0.6836905273550032
WCP.TO,-0.015330188679245375,222,-23.552936346447936,1.6934566996377245
BAM.A.TO,-0.02222667200640768,203,5.17800040408598,1.3330337727228867
H.IR.TO,-0.1608579088471849,118,-7.681863576819884,nan
IMG.TO,0.030395136778115527,210,10.400478617757566,1.0774580796826025
AC.TO,0.35341830822711456,193,33.22500168996709,1.0450530652999748
TRP.TO,-0.11511528608027319,153,-3.143569293421377,0.9054126135315276
ATH.TO,-0.009259259259259267,130,0.1200188700189102,2.7109323813171495
T.TO,0.0239830707735715,162,5.883363667048394,0.5502469175088439
SLF.TO,0.15459384401758852,81,3.5921159866058248,0.9814964431200943
HSE.TO,0.10143042912873865,85,0.21602714349998475,1.6369667755814792
CM.TO,0.12531787203743253,223,13.23480268930258,0.8579266876855485
NMX.TO,0.5428571428571429,181,77.66990291262135,2.035834236793379
HBM.TO,0.6429675425038641,225,26.5228868694449,2.3902253697644387
SGY.TO,-0.07407407407407403,217,-29.992489717080808,2.686404303458058
NA.TO,0.1681415929203539,223,16.962524654832333,0.6601459962528496
TRST.TO,0,0,0,0
HND.TO,0.07382550335570472,163,-27.8205135836191,-1.2544748739499896
NTR.TO,-0.1497238393790117,0,0.0,-0.4516550039407338
ECN.TO,-0.10230179028133,153,0.05857768528191398,1.0293982714912295
EFN.TO,-0.39664804469273734,163,-0.4076487344588706,1.1054701528162274
IMO.TO,-0.0755950823960239,145,3.1456783021581054,1.6212782349772326
MG.TO,0.18045774647887325,184,8.653845666549898,1.7452748657461892
NGD.TO,-0.08877284595300257,210,-7.404763738912141,1.1898471841576521
ATD.B.TO,0.010763209393346324,211,7.727074115316974,0.1949613944695445
DOL.TO,0.294390243902439,64,-1.5020255492576635,0.449844761208618
CPG.TO,-0.11133004926108382,135,-16.285093671705376,3.177131947627021
BHC.TO,0,0,0,0
TRQ.TO,0.09609609609609604,218,17.48121893794644,1.614018061411191
SJR.B.TO,-0.12575703598147492,110,-9.915189836832399,0.6819467739283058
KL.TO,0.589066918001885,94,19.72140762463341,1.3551600702268116
WPM.TO,0.02068965517241386,208,-6.172665701337106,1.015836451094262
TCW.TO,-0.03370786516853935,139,18.96615813521256,3.0646514348829927
AEM.TO,-0.09642560266001658,230,-0.9852407912771626,0.7956315380987626
TOG.TO,0.41111111111111104,218,26.860166693097227,2.564720575074407
IPL.TO,-0.08424747696358044,91,6.255707762557082,1.4586934706872299
VII.TO,-0.2804557405784399,125,-30.040712126480624,1.9965832653282847
IVN.TO,-0.22784810126582286,153,-4.573804020153709,2.4707274698001616
MRU.TO,-0.12003693444136664,196,-2.2671473754148996,0.2140272581321325
NXE.TO,0.06827309236947787,154,-1.8492981332848082,1.4660240639154662
MEG.TO,0.25181598062953997,175,19.060268647304675,2.934146085813764
XEG.TO,0.019408502772643166,189,-2.56063431541951,1.8450064657305436
ARX.TO,-0.20988446726572527,147,-12.42972380554854,1.8703944903373484
S.TO,0.5374999999999999,189,61.72839506172839,2.0416745404424748
GIL.TO,-0.02448775612193913,150,-6.612030609272352,0.8576299567948552
KEL.TO,0.2773972602739726,181,6.771247650912296,1.944390686295095
TRI.TO,-0.15906771010547807,34,-1.3474667624865255,0.42325145004047643
SMF.TO,0.1877133105802047,176,-31.012999377544013,0.7294619195963498
