Date,Open,High,Low,Adj. Close,Volume,Close
1/3/2000,null,null,null,null,null,null
1/4/2000,8271.700195,8305.900391,8157.600098,8202.599609,5950980000,8202.599609
1/5/2000,8100.200195,8147.200195,8018.600098,8119.399902,9454570000,8119.399902
1/6/2000,8137,8186.399902,8075.700195,8114.200195,7969010000,8114.200195
1/7/2000,8193.400391,8430,8193.400391,8429.400391,8769310000,8429.400391
1/10/2000,8544.299805,8610.799805,8509.099609,8602.5,8331700000,8602.5
1/11/2000,8581.599609,8634.700195,8442.599609,8442.599609,8783690000,8442.599609
1/12/2000,8444.299805,8444.299805,8327.5,8360,8540900000,8360
1/13/2000,8423.700195,8450.700195,8383.299805,8417.900391,9130050000,8417.900391
1/14/2000,8531.200195,8531.200195,8357.5,8357.5,167440000,8357.5
1/17/2000,8357.5,8494.5,8357.5,8479.299805,114170000,8479.299805
1/18/2000,8432.200195,8595.099609,8432.200195,8589.700195,8919620000,8589.700195
1/19/2000,8624.400391,8689.099609,8624.400391,8635.099609,8611240000,8635.099609
1/20/2000,8697.700195,8740.900391,8677.400391,8682.900391,8672030000,8682.900391
1/21/2000,8755.599609,8755.599609,8634.5,8634.900391,8958000000,8634.900391
1/24/2000,8752.099609,8752.099609,8453.599609,8458.799805,9173520000,8458.799805
1/25/2000,8467.799805,8537.599609,8414.700195,8505.5,8827880000,8505.5
1/26/2000,8632.5,8657.599609,8572.799805,8582.599609,8269360000,8582.599609
1/27/2000,8675.900391,8754.299805,8562.700195,8645.799805,1575460000,8645.799805
1/28/2000,8588,8625.200195,8389.299805,8390.400391,9434020000,8390.400391
1/31/2000,8428.099609,8512.200195,8304.700195,8481.099609,475170000,8481.099609
2/1/2000,8496.299805,8546.900391,8438.400391,8535.299805,7982950000,8535.299805
2/2/2000,8643.299805,8796,8629.5,8769.5,2108600000,8769.5
2/3/2000,8828.299805,8912.299805,8770.5,8894.400391,9969690000,8894.400391
2/4/2000,9014,9269.299805,9014,9209.200195,9575200000,9209.200195
